recipe_id,ingredient_id,quantity
66596,4023,
128956,437,
128956,3203,2
128956,7229,1   tablespoon
128956,893,2   cups   chopped
128956,7979,1/2
128956,1093,1/2  cup   chopped
128956,3398,1/2  cup
128956,8021,1/2  cup   chopped
128956,382,1/2  teaspoon
128956,5106,1/2  teaspoon
128956,6273,
52035,5112,
52035,1910,1 (8   ounce) package
52035,7729,1 (24   ounce) package
52035,1381,1 (24   ounce) package
82925,3347,4
82925,800,3/4  cup   packed
82925,2683,1/2  cup
82925,6156,1/2  cup
82925,1511,3/4  teaspoon
82925,4964,3/4  teaspoon
82925,840,1/3  cup
95569,1252,1 -2   lb
95569,367,1 (18   ounce) jar  of your favorite
95569,6980,1   medium
95569,3610,4 -6
46922,677,15   lbs   whole
46922,800,1   lb
46922,7977,1/2  cup
46922,96,
48760,3484,1   lb
48760,5010,1 1/2  cups   chopped
48760,3184,2   teaspoons   minced
48760,2809,1 1/2  teaspoons   minced
48760,2410,1/2-1 1/2  teaspoon
48760,6413,2   tablespoons
48760,1833,2   tablespoons
48760,437,3/4  cup
48760,3710,1/3  cup
48760,6696,2   tablespoons
48760,7612,8   ounces
48760,6335,1/2  cup   sliced
107997,6487,12
107997,5006,2   tablespoons
107997,3203,2
107997,5975,1/4  teaspoon
107997,6805,1   teaspoon
107997,4289,
107997,4253,2   teaspoons
107997,2856,1   tablespoon
22176,4189,1   lb
22176,5010,1   cup
22176,3203,2
22176,4646,1 (32   ounce) jar
22176,1257,1   cup
22176,2321,1   teaspoon
22176,8019,1 (16   ounce) package
22176,4836,2   cups   shredded
22176,5180,1   cup   grated
3470,1252,4
3470,6270,
3470,5319,
3470,1257,1   cup
3470,7033,4 -6   slices
3470,1917,1 (10 1/2  ounce) can
3470,1920,1 (10 1/2  ounce) can
3470,4717,1/4  cup
3470,3678,
3470,840,1/2  cup
1356,3440,6   large
1356,422,1   lb
1356,5010,1/2  cup
1356,7213,1 (16   ounce) can
1356,4470,1/2  cup
1356,7655,1   cup
1356,6270,1   teaspoon
1356,7946,
1356,1168,1   cup
145038,1280,2 1/2  lbs
145038,5006,1 2/3  tablespoons
145038,6696,1/2  cup
145038,4053,1 2/3  tablespoons
145038,3723,3/4  cup
145038,3203,2 -3
145038,6276,
133751,6696,1/4  cup
133751,7655,1   cup
133751,3512,1/2  teaspoon
133751,3217,1/4  teaspoon
133751,800,5   tablespoons   packed
133751,3723,1 -2   tablespoon
133751,1833,2   tablespoons
133751,1645,1/4  cup
16531,1240,1   large
16531,800,1   cup   packed
16531,7620,2/3  cup
16531,6786,
16531,3184,2 -3   tablespoons   minced
16531,6696,2   tablespoons
16531,5319,1   teaspoon
15072,1589,3/4  cup
15072,6473,3/4  cup
15072,6906,2 1/4  cups
15072,2499,4   large
15072,7449,1   teaspoon
15072,2683,1 1/4  cups
15072,332,1   teaspoon
15072,6270,1   teaspoon
15072,7642,1   cup   chopped
46877,840,1   cup
46877,63,1 1/2  cups
46877,3834,1/2  cup
46877,7470,1   teaspoon
46877,5964,1/4  cup
46877,3435,1/4  cup
8782,6270,4   teaspoons
8782,5168,2   teaspoons
8782,1119,1   teaspoon
8782,5024,1   teaspoon
8782,7168,1   teaspoon
8782,7774,1   teaspoon
8782,3217,1/2  teaspoon
8782,590,1/2  teaspoon
8782,6142,1   large
8782,5010,2   large
221743,7819,1
221743,4987,2   tablespoons
221743,4574,2   tablespoons   melted
221743,4253,1 1/2  tablespoons
221743,6374,1 1/2  tablespoons
221743,3217,1   teaspoon
221743,2816,1/2  teaspoon
221743,1119,1/8  teaspoon
221743,4231,1      whole
56103,811,
56103,5006,3   tablespoons
56103,4096,1/2-3/4  teaspoon
56103,4293,1/2  teaspoon
34499,5574,6
34499,3217,1   teaspoon
34499,6374,1   teaspoon
34499,2499,2
34499,63,1/4  cup
34499,728,
34499,5006,4   tablespoons
34499,1674,1 (10 3/4  ounce) can
34499,4717,1/2  cup
34499,7801,1/3  cup
87085,6715,8   ounces   uncooked
87085,4717,1/2  cup
87085,2499,1
87085,3484,1   lb
87085,5010,1   medium
87085,3399,1   medium
87085,3203,2
87085,1329,1   teaspoon
87085,2007,1/2  teaspoon
87085,5106,1/2  teaspoon
87085,6270,1/2  teaspoon
87085,5319,1/4  teaspoon
87085,7233,2 (8   ounce) cans
87085,1168,1/2  cup
87085,4814,1/2  cup   shredded
40497,2683,1/3  cup
40497,5168,1   tablespoon
40497,3219,1   teaspoon
40497,590,1   teaspoon
40497,1119,1/4-1/2  teaspoon
40497,840,3   tablespoons
40497,1310,10
29598,1504,1/4  cup
29598,7839,3   tablespoons
29598,3184,3   cloves
29598,4379,1
29598,4231,1/2
29598,800,1/2  cup
29598,6270,1 1/2  teaspoons
29598,5006,6   tablespoons
29598,3486,
29598,1254,6
52488,1306,1   lb
52488,2499,3
52488,1833,1/2  cup
52488,2238,2   teaspoons
52488,6082,5
52488,6083,1 1/2  tablespoons
52488,6906,2   tablespoons
52488,6696,3   tablespoons
66703,800,1   cup
66703,7790,1   cup
66703,840,
66703,1938,1   cup
66703,6270,1/2  teaspoon
66703,2499,2   large
66703,7449,1   teaspoon
66703,335,2   teaspoons
66703,2683,2   cups
19424,342,3   medium   very ripe
19424,2499,1
19424,869,1/3  cup
19424,3355,1/2  cup
19424,800,1/2  cup
19424,2683,1 1/2  cups
19424,335,1   teaspoon
19424,6270,1   teaspoon
19424,1388,2 -3   tablespoons
19424,7642,2   tablespoons   chopped
35805,7956,2   teaspoons   dried
35805,721,3   cups
35805,6270,1   teaspoon
35805,6906,2   tablespoons
35805,5006,2   tablespoons
35805,7655,1   cup
54351,2499,3
54351,5825,1   cup
54351,7449,1   teaspoon
54351,840,1   cup
54351,800,1   cup
54351,7790,1   cup
54351,2683,2 1/2  cups
54351,6270,1   teaspoon
54351,1511,1   teaspoon
54351,335,2   teaspoons
54351,4975,2   cups
54351,5298,3/4  cup   chopped
49387,4623,1/2  cup
49387,5010,1   tablespoon   minced
49387,2516,1   lb   unpeeled
49387,2620,1/3  cup
49387,5180,1/3  cup   grated
49387,2283,
49387,1786,
222188,7367,1   cup
222188,1689,
222188,4717,1   teaspoon
222188,7470,1   teaspoon
222188,6270,1/8  teaspoon
20616,2683,3 1/2  cups
20616,6906,1/2  cup
20616,335,1/2  teaspoon
20616,332,2   teaspoons
20616,6270,1   teaspoon
20616,6654,1   pint
20616,2499,2
20616,1078,2   tablespoons
20616,5825,3/4  cup
155186,3484,1   lb
155186,7060,1 (1 1/4  ounce) package
155186,6016,1 (15   ounce) can
155186,4814,2   cups
155186,6265,1   cup
155186,6335,2
155186,588,1 (2 1/3  ounce) can  sliced
155186,7213,1
155186,1807,2   cups
80536,5006,4   tablespoons
80536,441,3 1/2  lbs
80536,5010,4   cups   chopped
80536,6007,2   cups   good-quality
80536,2131,1 (14 1/2  ounce) can
80536,2320,1/2  teaspoon
80536,2212,1/2  teaspoon
80536,7168,1/4  teaspoon
80536,3710,1/2  cup
80536,393,2
80536,3203,1
80536,1093,
80536,1833,
80536,7655,
80536,2856,
50144,5648,8   cups   diced
50144,5010,1/3  cup
50144,1257,3 (14 1/2  ounce) cans
50144,1672,1 (10 3/4  ounce) can
50144,1910,1 (8   ounce) package
50144,298,1/2  lb
50144,1372,
178370,2683,2   cups
178370,6270,1/2  teaspoon
178370,332,2   teaspoons
178370,840,1/2  cup
178370,6906,3/4  cup
178370,2499,2
178370,4717,1   cup
178370,7469,1   teaspoon
21761,811,
21761,840,1 1/2  tablespoons
21761,5006,1 1/2  tablespoons
21761,3184,3   cloves
21761,5180,freshly grated
21761,6276,
64446,7956,1   tablespoon
64446,6906,1   tablespoon
64446,7650,1   cup
64446,2683,2 1/2  cups
64446,6270,1   teaspoon
64446,6183,2   tablespoons
64446,840,2   tablespoons
51537,2683,1 1/2  cups
51537,6270,1   teaspoon
51537,6906,2   teaspoons
51537,4987,1/2  cup
51537,4717,2   tablespoons
26257,5571,1      whole
26257,590,
26257,5168,
26257,7294,
26257,6270,
26257,2430,
26257,1118,
26257,1297,
26257,2461,
26257,155,
26257,4807,
26257,5519,
26257,6426,
26257,5476,
26257,3184,
37413,3484,
37413,2499,
37413,2404,
37413,2434,
37413,7946,
37413,5319,
37413,7655,
37413,2683,
108775,840,1/4  cup
108775,7839,3   tablespoons
108775,3723,1 1/2  tablespoons
108775,2404,1/4  cup
108775,7642,1/4  cup
108775,2856,4   teaspoons
108775,6261,4 (4   ounce)
108775,590,
108775,4096,
108775,4379,
31516,1917,1 (10 3/4  ounce) can
31516,6265,1   cup
31516,7655,1/2  cup
31516,7850,1   cup
31516,4474,3/4  cup   uncooked
31516,1254,4
31516,1329,1/2  teaspoon
31516,1168,1/2  cup
31516,970,1   cup
106627,875,2   medium
106627,7367,6 -8   tablespoons
106627,4320,1/4  cup
106627,4096,1 1/2  teaspoons
106627,2816,1/2-1   teaspoon
302120,5006,1   tablespoon
302120,590,1   teaspoon
302120,3484,1   lb
302120,5010,1   large
302120,1093,3 -4   large
302120,3046,1   cup
302120,2909,3 -4   sprigs
302120,2683,2   tablespoons
302120,840,1   tablespoon
302120,6007,1   glass
302120,7229,2   tablespoons
